school,slug,phone,prototype_url,whatsapp_send_link
Titsal Global School,titsal-global-school,09-4131136,https://prototypes.feuxlabs.com.ng/titsal-global-school/,https://wa.me/23494131136?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Titsal%20Global%20School%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/titsal-global-school/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Strauss School of Music & Dance,strauss-school-of-music-dance,09-6702723 / 08074912296,https://prototypes.feuxlabs.com.ng/strauss-school-of-music-dance/,https://wa.me/2349670272308074912296?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Strauss%20School%20of%20Music%20%26%20Dance%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/strauss-school-of-music-dance/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
New Capital French Centre,new-capital-french-centre,08034817073,https://prototypes.feuxlabs.com.ng/new-capital-french-centre/,https://wa.me/2348034817073?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20New%20Capital%20French%20Centre%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/new-capital-french-centre/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Government Day Secondary School Wuse II,government-day-secondary-school-wuse-ii,+234 9-4137998,https://prototypes.feuxlabs.com.ng/government-day-secondary-school-wuse-ii/,https://wa.me/23494137998?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Government%20Day%20Secondary%20School%20Wuse%20II%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/government-day-secondary-school-wuse-ii/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
L.E.A Primary School,lea-primary-school,+234 803 291 6746,https://prototypes.feuxlabs.com.ng/lea-primary-school/,https://wa.me/2348032916746?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20L.E.A%20Primary%20School%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/lea-primary-school/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
L.E.A. Primary School Lugbe,lea-primary-school-lugbe,08020873252,https://prototypes.feuxlabs.com.ng/lea-primary-school-lugbe/,https://wa.me/2348020873252?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20L.E.A.%20Primary%20School%20Lugbe%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/lea-primary-school-lugbe/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Overcomers Schools,overcomers-schools,07068347813,https://prototypes.feuxlabs.com.ng/overcomers-schools/,https://wa.me/2347068347813?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Overcomers%20Schools%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/overcomers-schools/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Adroit Continental Business Ltd,adroit-continental-business-ltd,09-6700800,https://prototypes.feuxlabs.com.ng/adroit-continental-business-ltd/,https://wa.me/23496700800?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Adroit%20Continental%20Business%20Ltd%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/adroit-continental-business-ltd/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Best Schools International,best-schools-international,09-2901293,https://prototypes.feuxlabs.com.ng/best-schools-international/,https://wa.me/23492901293?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Best%20Schools%20International%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/best-schools-international/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
British Canadian International Education,british-canadian-international-education,08066788636,https://prototypes.feuxlabs.com.ng/british-canadian-international-education/,https://wa.me/2348066788636?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20British%20Canadian%20International%20Education%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/british-canadian-international-education/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
